ID,ApplianceType,Brand,Model,Year,CatalogPrice,HasFreezer,DiagonalValue,DiagonalUnit,Capacity,Timestamp,Complexity,RepairDuration,RemainingTime,Price,Status,ReceptionistID,TechnicianID
1,Fridge,Samsung,Frost200,2018,1500,1,,,,1704067200,3,21,0,31500,Completed,9,1
2,TV,LG,SmartTV55,2020,2000,,55,inch,,1704070800,2,10,0,20000,Completed,10,2
3,WashingMachine,Bosch,Serie6,2019,1800,,,,,1704074400,4,24,0,43200,Completed,9,3
4,Fridge,LG,CoolMax,2017,1600,0,,,,1704078000,3,24,0,38400,Completed,10,1
5,TV,Samsung,QLED65,2021,3000,,65,inch,,1704081600,2,8,0,24000,Completed,9,2
6,WashingMachine,Samsung,EcoBubble,2018,1700,,,,,1704085200,5,35,0,59500,Completed,10,6
7,Fridge,Arctic,FrostFree,2016,1400,1,,,,1704088800,4,36,0,50400,Completed,9,7
8,TV,Philips,OLED55,2020,2500,,55,inch,,1704092400,3,15,0,37500,Completed,10,4
9,WashingMachine,LG,DirectDrive,2019,1900,,,,,1704096000,2,12,0,22800,Completed,9,3
10,Fridge,Bosch,NoFrost,2018,1750,1,,,,1704099600,3,21,0,36750,Completed,10,5
11,TV,Samsung,Crystal55,2021,1800,,55,inch,,1704103200,2,8,8,14400,InProgress,9,8
12,WashingMachine,Whirlpool,FreshCare,2017,1650,,,,,1704106800,4,32,18,52800,InProgress,10,4
13,Fridge,Samsung,Twin,2019,2000,1,,,,1704110400,3,18,15,36000,InProgress,11,1
14,TV,LG,NanoCell65,2020,2800,,65,inch,,1704114000,2,10,10,28000,InProgress,9,2
15,WashingMachine,Samsung,AddWash,2018,1850,,,,,1704117600,5,35,22,64750,InProgress,10,6
16,Fridge,Arctic,CombiPro,2016,1300,0,,,,1704121200,4,36,36,46800,Pending,11,0
17,TV,Philips,Ambilight,2021,2200,,50,inch,,1704124800,2,8,8,17600,Pending,16,0
18,WashingMachine,Bosch,Serie8,2019,2100,,,,,1704128400,3,18,18,37800,Pending,11,0
19,Fridge,LG,InstaView,2020,2500,1,,,,1704132000,2,10,10,25000,Pending,16,0
20,TV,Samsung,Frame65,2021,3500,,65,inch,,1704135600,3,12,12,42000,Pending,20,0
21,WashingMachine,LG,TurboWash,2018,1750,,,,,1704139200,4,28,28,49000,Pending,16,0
22,Fridge,Whirlpool,Supreme,2017,1550,1,,,,1704142800,3,24,24,37200,Pending,20,0
23,TV,LG,OLED77,2020,4500,,77,inch,,1704146400,2,10,10,45000,Pending,16,0
24,WashingMachine,Arctic,AquaMax,2016,1200,,,,,1704150000,5,45,45,54000,Pending,20,0
25,Fridge,Samsung,Family,2019,1900,1,,,,1704153600,3,18,18,34200,Received,20,0
26,TV,Philips,LED50,2021,1700,,50,inch,,1704157200,2,8,8,13600,Received,20,0
27,WashingMachine,Bosch,ActiveOxygen,2018,1950,,,,,1704160800,4,28,28,54600,Received,20,0
28,Fridge,LG,DoorCooling,2020,2200,0,,,,1704164400,2,10,10,22000,Received,20,0
29,TV,Samsung,Neo85,2021,5000,,85,inch,,1704168000,3,12,12,60000,Received,20,0
30,WashingMachine,Samsung,QuickDrive,2019,2300,,,,,1704171600,3,18,18,41400,Received,20,0
